id,Title,Content,Image URL,Date,Categories
1,Big Whiskey’s Concepts Announces Herschend as Chief Executive Officer,"Springfield, MO. September 1, 2015 — Big Whiskey’s American Restaurant & Bar started in 2006 and quickly became a local favorite. Over the last 9 years they have opened 5 locations in 3 cities. They now have two major focuses, to continue expansion of company owned stores, and to establish the franchise side of their business as a nationwide brand. In order to achieve those goals, Big Whiskey’s American Restaurant & Bar is proud to announce the hiring of Austin Herschend as Chief Executive Officer of Big Whiskey’s Franchising.

Austin Herschend, originally from Branson Missouri and a University of Missouri alum, has spent time working in finance at Putnam Investments in Boston, MA. He later moved back to the Ozarks to focus on his family and become more involved in his family’s business, Herschend Family Entertainment. His family’s business started over 50 years ago with Silver Dollar City and now owns and operates 26 locations in 10 states. Herschend Family Entertainment is now the largest family-owned themed attractions corporation.

“Austin has had an ownership stake in Big Whiskey’s since 2013, and has been serving in an ownership advisory role. With his background in finance and involvement in Herschend Family Entertainment, this is the perfect marriage to expand the franchise side of our company. Austin has a great passion for our brand and has been a fresh set of eyes for future possibilities.” said Big Whiskey’s Owner, Paul Sundy.

“Big Whiskey’s is positioned to have a meaningful expansion and I am excited to be one of the driving forces behind Big Whiskey’s Franchising. I am thrilled to move from a passive role into becoming the CEO for Big Whiskey’s Franchising. Over the last few weeks we have had a substantial amount of qualified leads in 6 different states. Our community embraces Big Whiskey’s American Restaurant & Bar and we are excited to see our passion and tradition spread across the nation.” said Austin Herschend.

Big Whiskey’s Franchising has hired Franchise Dynamics, the largest national franchise development company, to partner with them on the sales side of the franchise business. “The ownership group wanted to make sure we put our best foot forward. After interviewing four franchise sales companies, Franchise Dynamics was the best fit. We now have franchise opportunities in 31 states.” says Herschend.",https://bigwhiskeys.com/wp-content/uploads/2015/08/BWsign.jpg|https://bigwhiskeys.com/wp-content/uploads/2015/08/IMG_3536.jpg|https://bigwhiskeys.com/wp-content/uploads/2015/08/AAEAAQAAAAAAAAOIAAAAJGEyZDM0OTgzLWZkZTgtNDk3Ny05ZWI0LTNmMWIyNjZkYmQ2YQ.jpg,2015-08-23,Uncategorized
1136,SGF Chain Plans Major Expansion,"Big Whiskey's is about to go national.

A month ago, the Big Whiskey's American Bar & Grill brand expanded to Branson Landing, its fifth Ozarks location. But now, the ownership quintet declares that the region and the rest of the country is a potential home for up to 100 Big Whiskey's franchises.

""We are hiring for all positions and for managers,"" co-owner Paul Sundy said. ""We are kind of in the middle of our expansion plans over the next year to seven years. Our goal is to really blow this thing wide open.""

The plan?

•To open a restaurant in the St. Robert/Waynesville area in the next six months.

•To find a workable piece of property for a location in Joplin. 

•To complete a pair of three-store deals in Arkansas currently in the works.

Sundy also said there are inquiries in Texas, and the company is studying how best to enter the Kansas City market with at least four locations.

In recent months, Big Whiskey's Concepts acquired Sundy's former company, English Management. Owned with Mike Heslin, English Management operated Springfield-based brands such as Parlor 88 Lounge & Eatery, Dublin's Pass and Opus Cigar Bar.

""We sold all the interests that we were in with other restaurant concepts and brought our focus in to one brand, Big Whiskey's American Bar & Restaurant,"" Sundy said. ""We've merged all our infrastructure to put our best foot forward for our corporate stores, and work with franchisees.""

Now that Sundy's focus is mainly on Big Whiskey's, owning partners include Heslin, Jameson Clark, Randy Gildehaus and Austin Herschend.

Why shed multiple brands? Largely, time management.

""We opened nine different concepts over the last 10 years,"" Sundy said. ""One concept hasn't gotten my undivided attention.""

Sundy said among all his restaurant and bar brands, Big Whiskey's was the one most poised for fast growth, with ""bigger"" selling points for a broad audience including groups as varied as businesspeople in suits, sports fans wanting to catch a game at the pub and families out to dinner.

""This concept was the one that was farthest down the road,"" Sundy said. ""It had gotten over a lot of startup hurdles.""

After a year of legwork, Big Whiskey's launched its franchise business last month, hiring two Chicago-area companies to assist. iFranchise Group consulted on packaging franchise deals and making legal preparations. Another company, Franchise Dynamics, assists with actual sales.

""Right now we can legally sell in 38 states,"" Sundy said. ""Our goal in the next seven years is to have 100 franchises sold.""

Much depends on how sales go in the first couple years, Sundy said.

As Big Whiskey's enters the national stage, it's made some tweaks:

• Big Whiskey's now has its own whiskey brand, Bootleg Bourbon. ""We're not trying to be a full-on whiskey bar, but we're definitely standing behind our whiskey product,"" Sundy said.

• The ""all-purpose sauce"" slathered on Big Whiskey's chicken wings will be sold by the pint and in to-go containers. ""We want to make a retail market out of that.""

• The latest menu adds a few heart-healthy appetizers and more fish dishes. ""We've really focused our energy on entree side of our biz,"" Sundy said.

""We still believe in the four-opportunities approach,"" Sundy said, referring to a marketing strategy he's used since the mid-2000s. ""Lunch, happy hour, dinner and late night.""

 

Courtesy of Springfield News Leader

Full Story",https://bigwhiskeys.com/wp-content/uploads/2015/09/bigwhiskeyfountain.jpg,2015-07-09,Franchise|Opening
1142,"""Best Happy Hour in Town""","Drink and appetizer specials
Monday thru Friday 4-6 p.m.",https://bigwhiskeys.com/wp-content/uploads/2015/09/happyhour_bartendar_beer.jpg,2015-09-27,Specials
1146,Kids Eat FREE Tuesdays," Start a Tuesday tradition at Big Whiskey's with ""Kids Eat Free Tuesdays!""

Available at all BW locations — Downtown, Republic Rd., Battlefield Rd., Ozark & Branson

 

",https://bigwhiskeys.com/wp-content/uploads/2015/09/familytable_kid.jpg|https://bigwhiskeys.com/wp-content/uploads/2015/09/spag_kids.jpg|https://bigwhiskeys.com/wp-content/uploads/2015/09/chickenfingers_kids.jpg,2015-12-14,News
2107,Big Whiskey's Apparel,"Stop by any of the 5 Big Whiskey's locations and check out the new apparel line. From t-shirts to hoodies and flasks to bourbon, there's something for everyone!",https://bigwhiskeys.com/wp-content/uploads/2015/11/apparel-pic.jpg,2015-11-30,Apparel|Featured|Merchandise
2130,BigWhisk,,,1970-01-01,News
2133,"Big Whiskey’s Coming to Bentonville, Arkansas","Springfield, MO. February 2nd, 2016 – Big Whiskey’s Franchising is excited to add Bentonville, AR, businessman Shane Miller to the Big Whiskey’s American Restaurant & Bar family. Along with his wife, Candice, and 8 month old daughter, Olson, Mr. Miller has lived and worked in Bentonville since 2008. With a strong background in real estate and franchise restaurant development, he is the perfect person to open the company’s first Arkansas location.

“I’ve been a fan of Big Whiskey’s ever since the first location opened and have known for a long time that we needed one in Bentonville. I’m excited that I’ll be able to make Big Whiskey’s a part of this community.” Miller said.

Austin Herschend, Big Whiskey’s Franchising CEO, said, “Shane and his wife will be a great addition to the Big Whiskey’s family. His enthusiasm and passion for his community coupled with his background in business are exactly what we have been looking for.”

Big Whiskey’s Franchising has been interested in Northwest Arkansas for several years because of the strong economic base and potential for multiple locations. The company is confident Bentonville is the right town to enter the Arkansas market. Miller is working to finalize the location for his first restaurant now and hopes to have it open by the fall of 2016.

 
About Big Whiskey’s: Big Whiskey’s American Restaurant & Bar was started in Springfield, MO in 2006 and quickly became a local favorite. Over the next ten years, the company opened five corporate locations in three cities. Big Whiskey’s Franchising was formed in 2015 with the help of Franchise Dynamics, the largest franchise development firm in the United States. The company now has two major focuses: continued expansion of company owned stores in Missouri and becoming a nationwide brand via franchise growth.
 

Traditions Starting Daily…",https://bigwhiskeys.com/wp-content/uploads/2016/02/bentonvillearkansas_bigwhiskeys.jpg,2016-02-10,News
2136,"Big Whiskey's adds new franchise, bottles own BBQ sauce","Springfield-based Big Whiskey's American Restaurant & Bar will expand into Bentonville, Arkansas with a new franchise store, the company announced Monday.

""If everything goes right, we’re looking at (opening) September of this year,"" said Paul Sundy, chief operating officer.

The Bentonville franchisee is Shane Miller, a business owner with a background in real estate.

Big Whiskey's opened in 2006 with a location at 311 Park Central East. In the 10 years since, the company has opened four additional locations, in south Springfield, east Springfield, Ozark — and, in May 2015, Branson.

The Bentonville franchise store would be the fifth. The menu and beverages will be largely the same. ""The look will emulate the Branson store a lot,"" Sundy said.

Sundy said the company is eyeing the Kansas City market for its next round of expansion, hoping to seed the market with corporate-owned stores, then franchises. The goal is to open three new Big Whiskey's pubs in Kansas City over the next two years.

Meanwhile, Big Whiskey’s All-Purpose BBQ Sauce — a honey-whiskey flavor condiment the restaurant uses for its wings, burgers and pork chops — went on sale for $3.99 per bottle at the Springfield Hy-Vee store Feb. 6.

""It's in its infancy stage,"" Sundy said. Big Whiskey's is looking to distribute All-Purpose BBQ to other stores.

When asked Monday if it sold well over Super Bowl Sunday, Sundy said he didn't know yet. ""But our guy’s back in (Hy-Vee) today to restock.""

""That's a good sign.""

 

By Gregory J. HolmanGregory J. Holman, GHOLMAN@NEWS-LEADER.COM

Courtesy of: Springfield News-Leader",https://bigwhiskeys.com/wp-content/uploads/2016/02/BBQsauce_0979.jpg,2016-02-10,Franchise|News|Opening
2140,'The Best Wings Ever' Coming to Bentonville,"A new restaurant-slash-bar is making its way to Bentonville, and according to sources, it’s bringing “the best wings ever” with it.

The eatery is Big Whiskey’s American Restaurant & Bar, a Springfield, Missouri,-based franchise that boasts a casual neighborhood restaurant/bar vibe. Shane Miller, a Springfield native who moved to Bentonville in 2008 to work for Wal-Mart Stores Inc., is the local franchisee who will open the company’s first Arkansas location.

Miller expects the restaurant to open in Bentonville this fall. A preliminary site plan shows the building being built along Southeast Walton Boulevard across the street from the Four Points by Sheraton Bentonville.

The site, adjacent to Guess Who liquor store, is owned by Roger Gildehaus.

Miller, whose position for Walmart for the past three years has involved dealing with the food services spaces at the front of the retailer’s stores, says during that time he’s learned a great deal about the restaurant business.

And all the while, he has been missing Big Whiskey’s, a place he enjoyed for years while living in downtown Springfield.

“I kept thinking, ‘Someone really needs to open a Big Whiskey’s ,’” he said. “And then it hit me that that someone could be me.”

To that end, for the past two years Miller and his wife, Candice, have been working with the company, which, for its part, has been working to expand its franchising business nationally.

“Shane and Candice will be a great addition to the Big Whiskey’s family,” Austin Herschend, Big Whiskey’s franchising CEO, said in a company news release. “His enthusiasm and passion for his community, coupled with his background in business, are exactly what we have been looking for.”

Miller says one of the things that has always drawn him to the restaurant is that although it’s mainly an eatery — with approximately 70 percent of sales coming from food — it manages to incorporate a fun-bar vibe throughout. But, he added, it’s a kid-friendly establishment.

Big Whiskey’s was founded in 2006 and has since opened five corporate locations in three Missouri cities.

A Big Whiskey's location opened in downtown Little Rock in 2008, but a company spokesman said that location operates under a licensing agreement, and the only affiliation is the restaurant name.

 
by Bonnie Bauman
Courtesy of NWA Business Journal",https://bigwhiskeys.com/wp-content/uploads/2016/02/bigwhiskey_wings.jpg|https://bigwhiskeys.com/wp-content/uploads/2016/02/bigwhiskeys_wings_9687_900p.jpg,2016-02-12,Franchise|News|Opening
2149,BW Plans Kansas City Expansion,"Springfield, Mo.’s Big Whiskey’s American Restaurant & Bar is coming to Kansas City.

Big Whiskey’s plans eight or nine locations, including three corporate-owned operations to “seed the market.” Three locations are expected to open in the next two years and it is looking at locations that are around 5,500-to-6,500 square feet.

Menu items include Buffalo chicken dip, smothered steak (USDA choice center cut, seasoned sirloin with grilled onions, mushrooms and melted mozzarella cheese), lemon pepper chicken, jerk chops, fish tacos, pan-seared tilapia, chicken ranch Alfredo pasta, and barbecue pork chops.

It also offers classic cocktails and frozen cocktails, wine and beer, and seasonal specialty cocktails like the current Black Walnut Old Fashioned.

Partner Paul Sundy said he named the restaurants after a longtime customer of his grandfather’s tavern in Lockwood, Mo.

The regular would come in a couple of times a week at happy hour with the same drink order, “I’m only going to have one, so make it a big one,” earning him the nickname Big Whiskey.

Sundy has four other partners in Big Whiskey’s Concepts, which owns five restaurants — three in Springfield, and two in the Ozark area. They launched Big Whiskey’s Franchising LLC four months ago and their first franchisee plans a Bentonville, Ark. location.

 

 


Joyce Smith: 816-234-4692, @JoyceKC


Read more here: http://www.kansascity.com/news/business/biz-columns-blogs/cityscape/article60176921.html#storylink=cpy",https://bigwhiskeys.com/wp-content/uploads/2016/02/kansascity.jpg,2016-02-19,Franchise|News
